Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Amsterdam Theoretical,Metropolitan (High Risk),Dairy (Milk & Milkproducts),575689.5050739823
Amsterdam Theoretical,Metropolitan (High Risk),Cheese & Eggs,247353.11038491462
Amsterdam Theoretical,Metropolitan (High Risk),Fish,48783.841896869504
Amsterdam Theoretical,Metropolitan (High Risk),Plant Protein,79184.13084023361
Amsterdam Theoretical,Metropolitan (High Risk),Staples,600221.3046773737
Amsterdam Theoretical,Metropolitan (High Risk),Rice,58259.795300246464
Amsterdam Theoretical,Metropolitan (High Risk),Veg & Fruit,369389.3859225977
Amsterdam Theoretical,Metropolitan (High Risk),Ultra-Processed,481109.93630538107
Amsterdam Theoretical,Metropolitan (High Risk),Soups,63645.78144032082
Amsterdam Theoretical,Metropolitan (High Risk),Beverages & Additions,32929.98592222576
Amsterdam Theoretical,Metropolitan (High Risk),Fats (Butter),71302.52343858135
Amsterdam Theoretical,Metropolitan (High Risk),Oils (Plant-based),131680.9271179051
Amsterdam Theoretical,Metropolitan (High Risk),Condiments,30452.43366385925
Metabolic Balance,Metropolitan (High Risk),Red Meat,2284338.088776364
Metabolic Balance,Metropolitan (High Risk),Poultry,275035.36362495675
Metabolic Balance,Metropolitan (High Risk),Dairy (Milk & Milkproducts),110515.83447786357
Metabolic Balance,Metropolitan (High Risk),Cheese & Eggs,373111.8726087287
Metabolic Balance,Metropolitan (High Risk),Fish,194793.97927877383
Metabolic Balance,Metropolitan (High Risk),Plant Protein,73028.08445673803
Metabolic Balance,Metropolitan (High Risk),Staples,142635.65483941004
Metabolic Balance,Metropolitan (High Risk),Rice,23263.14803678893
Metabolic Balance,Metropolitan (High Risk),Veg & Fruit,413825.8119215155
Metabolic Balance,Metropolitan (High Risk),Ultra-Processed,72317.98247443516
Metabolic Balance,Metropolitan (High Risk),Soups,76241.3201728345
Metabolic Balance,Metropolitan (High Risk),Beverages & Additions,26095.368845874393
Metabolic Balance,Metropolitan (High Risk),Fats (Butter),163907.0457721734
Metabolic Balance,Metropolitan (High Risk),Oils (Plant-based),153358.9773591499
Metabolic Balance,Metropolitan (High Risk),Condiments,19376.785075854492
Dutch Goal (60:40),Metropolitan (High Risk),Red Meat,811738.8748944412
Dutch Goal (60:40),Metropolitan (High Risk),Poultry,67144.79932529855
Dutch Goal (60:40),Metropolitan (High Risk),Dairy (Milk & Milkproducts),431686.36530117644
Dutch Goal (60:40),Metropolitan (High Risk),Cheese & Eggs,165115.9243941721
Dutch Goal (60:40),Metropolitan (High Risk),Fish,63407.13172814603
Dutch Goal (60:40),Metropolitan (High Risk),Plant Protein,325877.7762534211
Dutch Goal (60:40),Metropolitan (High Risk),Staples,784373.5751883641
Dutch Goal (60:40),Metropolitan (High Risk),Rice,100964.75585411962
Dutch Goal (60:40),Metropolitan (High Risk),Veg & Fruit,614249.7620805285
Dutch Goal (60:40),Metropolitan (High Risk),Ultra-Processed,312675.3351530619
Dutch Goal (60:40),Metropolitan (High Risk),Soups,68936.69930470327
Dutch Goal (60:40),Metropolitan (High Risk),Beverages & Additions,25884.277899850273
Dutch Goal (60:40),Metropolitan (High Risk),Fats (Butter),35646.23575045908
Dutch Goal (60:40),Metropolitan (High Risk),Oils (Plant-based),104593.61273817049
Dutch Goal (60:40),Metropolitan (High Risk),Condiments,22313.304050809704
Amsterdam Goal (70:30),Metropolitan (High Risk),Red Meat,500482.16016050614
Amsterdam Goal (70:30),Metropolitan (High Risk),Poultry,40008.598812465454
Amsterdam Goal (70:30),Metropolitan (High Risk),Dairy (Milk & Milkproducts),257222.70042795123
Amsterdam Goal (70:30),Metropolitan (High Risk),Cheese & Eggs,153677.31624201252
Amsterdam Goal (70:30),Metropolitan (High Risk),Fish,85008.35018447414
Amsterdam Goal (70:30),Metropolitan (High Risk),Plant Protein,405663.9945075178
Amsterdam Goal (70:30),Metropolitan (High Risk),Staples,829333.1748739049
Amsterdam Goal (70:30),Metropolitan (High Risk),Rice,135360.91426963353
Amsterdam Goal (70:30),Metropolitan (High Risk),Veg & Fruit,694614.6051204145
Amsterdam Goal (70:30),Metropolitan (High Risk),Ultra-Processed,267040.9084057611
Amsterdam Goal (70:30),Metropolitan (High Risk),Soups,88724.83455290123
Amsterdam Goal (70:30),Metropolitan (High Risk),Beverages & Additions,21733.618476687683
Amsterdam Goal (70:30),Metropolitan (High Risk),Fats (Butter),25911.02594702963
Amsterdam Goal (70:30),Metropolitan (High Risk),Oils (Plant-based),101982.56845161063
Amsterdam Goal (70:30),Metropolitan (High Risk),Condiments,21506.99054679522
EAT-Lancet (Planetary),Metropolitan (High Risk),Red Meat,282500.6707479099
EAT-Lancet (Planetary),Metropolitan (High Risk),Poultry,115631.59835537674
