Diet,Category,Scope1+2_tonnes_per_year,Scope3_tonnes_per_year,Total_tonnes_per_year,Scope1+2_pct,Scope3_pct
EAT-Lancet,Rice,15766.468142807647,89343.31947590996,105109.7876187176,15.000000000000007,85.0
EAT-Lancet,Veg & Fruit,76111.3496367,431297.6479413,507408.997578,15.0,85.0
EAT-Lancet,Ultra-Processed,21587.32612376118,122328.18136798003,143915.5074917412,15.0,85.0
EAT-Lancet,Soups,5741.347472595,32534.302344704996,38275.6498173,15.0,84.99999999999999
EAT-Lancet,Beverages & Additions,1575.0209924820003,8925.118957398,10500.13994988,15.000000000000002,84.99999999999999
EAT-Lancet,Fats (Butter),1113.0676298235658,6307.38323566687,7420.450865490436,15.000000000000005,85.0
EAT-Lancet,Oils (Plant-based),8908.987457475,50484.26225902499,59393.24971649999,15.000000000000002,85.0
EAT-Lancet,Condiments,1852.1894911590002,10495.740449901,12347.929941060002,15.0,85.0
Schijf van Vijf (50-50),Red Meat,120707.406386141,684008.6361881322,804716.0425742732,15.000000000000002,85.0
Schijf van Vijf (50-50),Poultry,9708.524767819843,55014.973684312434,64723.49845213228,15.000000000000002,85.0
Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),62417.905952062516,353701.4670616875,416119.37301375,15.000000000000002,85.0
