Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Monitor 2024 (Current),Metropolitan (High Risk),Cheese & Eggs,186912.51589416055
Monitor 2024 (Current),Metropolitan (High Risk),Fish,84242.62319224208
Monitor 2024 (Current),Metropolitan (High Risk),Plant Protein,90527.00544526456
Monitor 2024 (Current),Metropolitan (High Risk),Staples,470427.3422721846
Monitor 2024 (Current),Metropolitan (High Risk),Rice,144479.34014143806
Monitor 2024 (Current),Metropolitan (High Risk),Veg & Fruit,308399.87225544924
Monitor 2024 (Current),Metropolitan (High Risk),Ultra-Processed,332683.29023353336
Monitor 2024 (Current),Metropolitan (High Risk),Soups,39797.14117861731
Monitor 2024 (Current),Metropolitan (High Risk),Beverages & Additions,21894.99518822928
Monitor 2024 (Current),Metropolitan (High Risk),Fats (Butter),44424.45800912936
Monitor 2024 (Current),Metropolitan (High Risk),Oils (Plant-based),85041.01721382214
Monitor 2024 (Current),Metropolitan (High Risk),Condiments,19425.768615078945
Amsterdam Theoretical,Metropolitan (High Risk),Red Meat,1130433.927176834
Amsterdam Theoretical,Metropolitan (High Risk),Poultry,72490.31826638816
Amsterdam Theoretical,Metropolitan (High Risk),Dairy (Milk & Milkproducts),432764.1479343
Amsterdam Theoretical,Metropolitan (High Risk),Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Metropolitan (High Risk),Fish,36672.36867336539
Amsterdam Theoretical,Metropolitan (High Risk),Plant Protein,59525.23471586999
Amsterdam Theoretical,Metropolitan (High Risk),Staples,451205.4835137845
Amsterdam Theoretical,Metropolitan (High Risk),Rice,43795.74484113234
Amsterdam Theoretical,Metropolitan (High Risk),Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Metropolitan (High Risk),Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Metropolitan (High Risk),Soups,47844.56227162499
Amsterdam Theoretical,Metropolitan (High Risk),Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Metropolitan (High Risk),Fats (Butter),53600.37924870217
Amsterdam Theoretical,Metropolitan (High Risk),Oils (Plant-based),98988.74952749998
Amsterdam Theoretical,Metropolitan (High Risk),Condiments,22892.064890729995
Metabolic Balance,Metropolitan (High Risk),Red Meat,1720219.2568042295
Metabolic Balance,Metropolitan (High Risk),Poultry,207115.1950468233
Metabolic Balance,Metropolitan (High Risk),Dairy (Milk & Milkproducts),83223.87460275
Metabolic Balance,Metropolitan (High Risk),Cheese & Eggs,280971.64397745905
Metabolic Balance,Metropolitan (High Risk),Fish,146689.47469346155
Metabolic Balance,Metropolitan (High Risk),Plant Protein,54993.7497375
Metabolic Balance,Metropolitan (High Risk),Staples,107411.68365890504
Metabolic Balance,Metropolitan (High Risk),Rice,17518.29793645294
Metabolic Balance,Metropolitan (High Risk),Veg & Fruit,311631.2485125
Metabolic Balance,Metropolitan (High Risk),Ultra-Processed,54459.00791874122
Metabolic Balance,Metropolitan (High Risk),Soups,57413.47472594999
Metabolic Balance,Metropolitan (High Risk),Beverages & Additions,19651.099906199997
Metabolic Balance,Metropolitan (High Risk),Fats (Butter),123430.09025175363
Metabolic Balance,Metropolitan (High Risk),Oils (Plant-based),115486.87444875001
Metabolic Balance,Metropolitan (High Risk),Condiments,14591.67493035
Dutch Goal (60:40),Metropolitan (High Risk),Red Meat,563376.1340461537
Dutch Goal (60:40),Metropolitan (High Risk),Poultry,46600.91888553524
Dutch Goal (60:40),Metropolitan (High Risk),Dairy (Milk & Milkproducts),299605.9485699
Dutch Goal (60:40),Metropolitan (High Risk),Cheese & Eggs,114596.4226078766
Dutch Goal (60:40),Metropolitan (High Risk),Fish,44006.84240803847
Dutch Goal (60:40),Metropolitan (High Risk),Plant Protein,226170.961420425
Dutch Goal (60:40),Metropolitan (High Risk),Staples,544383.62644027
Dutch Goal (60:40),Metropolitan (High Risk),Rice,70073.19174581175
Dutch Goal (60:40),Metropolitan (High Risk),Veg & Fruit,426311.5479651
Dutch Goal (60:40),Metropolitan (High Risk),Ultra-Processed,217007.9898576061
Dutch Goal (60:40),Metropolitan (High Risk),Soups,47844.56227162499
Dutch Goal (60:40),Metropolitan (High Risk),Beverages & Additions,17964.624914250002
Dutch Goal (60:40),Metropolitan (High Risk),Fats (Butter),24739.776683730874
Dutch Goal (60:40),Metropolitan (High Risk),Oils (Plant-based),72591.7496535
Dutch Goal (60:40),Metropolitan (High Risk),Condiments,15486.239926080001
Amsterdam Goal (70:30),Metropolitan (High Risk),Red Meat,323859.94291182916
Amsterdam Goal (70:30),Metropolitan (High Risk),Poultry,25889.399380852912
Amsterdam Goal (70:30),Metropolitan (High Risk),Dairy (Milk & Milkproducts),166447.7492055
Amsterdam Goal (70:30),Metropolitan (High Risk),Cheese & Eggs,99443.95790055714
Amsterdam Goal (70:30),Metropolitan (High Risk),Fish,55008.55301004808
Amsterdam Goal (70:30),Metropolitan (High Risk),Plant Protein,262503.498747
Amsterdam Goal (70:30),Metropolitan (High Risk),Staples,536658.0790480362
Amsterdam Goal (70:30),Metropolitan (High Risk),Rice,87591.48968226468
Amsterdam Goal (70:30),Metropolitan (High Risk),Veg & Fruit,449482.2478545
Amsterdam Goal (70:30),Metropolitan (High Risk),Ultra-Processed,172801.07111845337
Amsterdam Goal (70:30),Metropolitan (High Risk),Soups,57413.47472594999
Amsterdam Goal (70:30),Metropolitan (High Risk),Beverages & Additions,14063.73493287
Amsterdam Goal (70:30),Metropolitan (High Risk),Fats (Butter),16766.918088150727
Amsterdam Goal (70:30),Metropolitan (High Risk),Oils (Plant-based),65992.49968499999
Amsterdam Goal (70:30),Metropolitan (High Risk),Condiments,13917.08493357
EAT-Lancet (Planetary),Metropolitan (High Risk),Red Meat,183426.85826095415
EAT-Lancet (Planetary),Metropolitan (High Risk),Poultry,75079.25820447344
EAT-Lancet (Planetary),Metropolitan (High Risk),Dairy (Milk & Milkproducts),416119.37301374995
EAT-Lancet (Planetary),Metropolitan (High Risk),Cheese & Eggs,33656.21919510879
EAT-Lancet (Planetary),Metropolitan (High Risk),Fish,102682.63228542311
EAT-Lancet (Planetary),Metropolitan (High Risk),Plant Protein,202010.37403575
EAT-Lancet (Planetary),Metropolitan (High Risk),Staples,467112.40397981653
